spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,Notes
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Mohéli,-12,24,10,43,41,31,,1,EPI-05,0,30,4,0.863,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Mohéli,-12,24,10,43,41,31,,1,EPI-07,0,30,4,0.571,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Mohéli,-12,24,10,43,41,31,,1,EPI-08,0,30,4,0.689,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Mohéli,-12,24,10,43,41,31,,1,EPI-12,0,30,4,0.439,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Mohéli,-12,24,10,43,41,31,,1,EPI-13,0,30,4,0.721,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Mohéli,-12,24,10,43,41,31,,1,EPI-16,0,30,4,0.68,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Mohéli,-12,24,10,43,41,31,,1,EPI-27,0,30,4,0.848,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Mohéli,-12,24,10,43,41,31,,1,EPI-35,0,30,4,0.412,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Mohéli,-12,24,10,43,41,31,,1,EPI-48,0,30,4,0.783,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Mohéli,-12,24,10,43,41,31,,1,EPI-49,0,30,4,0.883,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Mohéli,-12,24,10,43,41,31,,1,EPI-50,0,30,4,0.773,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Moroni,-11,47,10,43,14,55,,1,EPI-04,0,30,4,0.805,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Moroni,-11,47,10,43,14,55,,1,EPI-05,0,30,4,0.877,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Moroni,-11,47,10,43,14,55,,1,EPI-07,0,30,4,0.626,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Moroni,-11,47,10,43,14,55,,1,EPI-08,0,30,4,0.682,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Moroni,-11,47,10,43,14,55,,1,EPI-12,0,30,4,0.531,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Moroni,-11,47,10,43,14,55,,1,EPI-13,0,30,4,0.561,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Moroni,-11,47,10,43,14,55,,1,EPI-27,0,30,4,0.873,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Moroni,-11,47,10,43,14,55,,1,EPI-35,0,30,4,0.586,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Moroni,-11,47,10,43,14,55,,1,EPI-48,0,30,4,0.732,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Moroni,-11,47,10,43,14,55,,1,EPI-49,0,30,4,0.866,,
Epinephelus merra,Honeycomb grouper,Muths & Bourjea (2011) Conservation Genet. Resour. 3:629-631,1,Comoros,Moroni,-11,47,10,43,14,55,,1,EPI-50,0,30,4,0.776,,
Apogon imberbis,Cardinalfish,Muths et al. (2015) Journal of Sea Research 95:70-74,0,France,La Vesse,43.341886,,,5.261652,,,2011-2013,7,,0,8,2.29,0.73,,geo coordinates pulled from place name
Apogon imberbis,Cardinalfish,Muths et al. (2015) Journal of Sea Research 95:70-74,0,France,Degaby,43.277637,,,5.343835,,,2011-2013,7,,0,10,2.29,0.763,,geo coordinates pulled from place name
Apogon imberbis,Cardinalfish,Muths et al. (2015) Journal of Sea Research 95:70-74,0,Monaco,Monaco,43.735246,,,7.431903,,,2011-2013,7,,0,10,2.29,0.727,,geo coordinates pulled from place name
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Seychelles,Mahé,-4.682669,,,55.470369,,,2013,1,Pfi1.6B2,0,31,3,0.442,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Seychelles,Mahé,-4.682669,,,55.470369,,,2013,1,Pfi1.9C,0,31,2,0.766,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Seychelles,Mahé,-4.682669,,,55.470369,,,2013,1,Pfi2.8A,0,31,4,0.313,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Seychelles,Mahé,-4.682669,,,55.470369,,,2013,1,Pfi2.8E,0,31,4,0.734,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Seychelles,Mahé,-4.682669,,,55.470369,,,2013,1,Pfi2.9C,0,31,4,0.851,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Tanzania,Dar es Salaam,-6.792354,,,39.208328,,,2013,1,Pfi1.9C,0,26,2,0.704,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Tanzania,Dar es Salaam,-6.792354,,,39.208328,,,2013,1,Pfi2.8A,0,26,4,0.305,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Tanzania,Dar es Salaam,-6.792354,,,39.208328,,,2013,1,Pfi2.9C,0,26,4,0.896,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Tanzania,Dar es Salaam,-6.792354,,,39.208328,,,2013,1,Pfi4A,0,26,4,0.785,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Madagascar,Toliara,-23.351619,,,43.685494,,,2013,1,Pfi1.6B3,0,33,3,0.275,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Madagascar,Toliara,-23.351619,,,43.685494,,,2013,1,Pfi2.8E,0,33,4,0.739,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Mauritius,Petite Riveire,-20.193652,,,57.44717,,,2013,1,Pfi1.6B3,0,22,3,0.464,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Mauritius,Petite Riveire,-20.193652,,,57.44717,,,2013,1,Pfi1.7E,0,22,3,0.82,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Mauritius,Petite Riveire,-20.193652,,,57.44717,,,2013,1,Pfi1.9C,0,22,2,0.698,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Mauritius,Petite Riveire,-20.193652,,,57.44717,,,2013,1,Pfi2.2E,0,22,4,0.327,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Mauritius,Petite Riveire,-20.193652,,,57.44717,,,2013,1,Pfi2.8A,0,22,4,0.67,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Mauritius,Petite Riveire,-20.193652,,,57.44717,,,2013,1,Pfi2.8E,0,22,4,0.675,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Mauritius,Petite Riveire,-20.193652,,,57.44717,,,2013,1,Pfi4A,0,22,4,0.811,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,Mauritius,Petite Riveire,-20.193652,,,57.44717,,,2013,1,Pfi1.5C,0,22,3,0.855,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,South Africa,Durban,-29.85868,,,31.02184,,,2013,1,Pfi1.6B3,0,24,3,0.297,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,South Africa,Durban,-29.85868,,,31.02184,,,2013,1,Pfi1.9C,0,24,2,0.706,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,South Africa,Durban,-29.85868,,,31.02184,,,2013,1,Pfi2.2E,0,24,4,0.585,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,South Africa,Durban,-29.85868,,,31.02184,,,2013,1,Pfi2.8A,0,24,4,0.693,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,South Africa,Durban,-29.85868,,,31.02184,,,2013,1,Pfi2.8E,0,24,4,0.762,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,South Africa,Durban,-29.85868,,,31.02184,,,2013,1,Pfi2.9C,0,24,4,0.887,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,South Africa,Durban,-29.85868,,,31.02184,,,2013,1,Pfi4A,0,24,4,0.734,,
Pristipomoides filamentosus,Crimson jobfish,Mzingirwa et al. (2019) Molecular Biology Reports 46:5079-5088,0,South Africa,Durban,-29.85868,,,31.02184,,,2013,1,Pfi1.3A,0,24,4,0.664,,
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Osaka Bay,34.433572,,,135.172369,,,2001,1,Sni13,1,87,2,0.632,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Osaka Bay,34.433572,,,135.172369,,,2001,1,Sni21,1,87,2,0.556,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Osaka Bay,34.433572,,,135.172369,,,2001,1,Sni24,1,87,2,0.846,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Osaka Bay,34.433572,,,135.172369,,,2001,1,Sni26,1,87,2,0.889,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Osaka Bay,34.433572,,,135.172369,,,2001,1,Sni29,1,87,2,0.787,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Harimanada,34.412442,,,134.552842,,,2001,1,Sni13,1,76,2,0.653,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Harimanada,34.412442,,,134.552842,,,2001,1,Sni21,1,76,2,0.546,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Harimanada,34.412442,,,134.552842,,,2001,1,Sni24,1,76,2,0.815,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Harimanada,34.412442,,,134.552842,,,2001,1,Sni26,1,76,2,0.893,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Harimanada,34.412442,,,134.552842,,,2001,1,Sni29,1,76,2,0.798,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Hiuchinada,34.255427,,,133.223447,,,2002,1,Sni13,1,83,2,0.673,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Hiuchinada,34.255427,,,133.223447,,,2002,1,Sni21,1,83,2,0.572,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Hiuchinada,34.255427,,,133.223447,,,2002,1,Sni24,1,83,2,0.799,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Hiuchinada,34.255427,,,133.223447,,,2002,1,Sni26,1,83,2,0.896,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Hiuchinada,34.255427,,,133.223447,,,2002,1,Sni29,1,83,2,0.798,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Ise Bay,34.728282,,,136.731571,,,2005,1,Sni13,1,164,2,0.64,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Ise Bay,34.728282,,,136.731571,,,2005,1,Sni24,1,164,2,0.833,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Ise Bay,34.728282,,,136.731571,,,2005,1,Sni26,1,164,2,0.884,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Ise Bay,34.728282,,,136.731571,,,2005,1,Sni29,1,164,2,0.849,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Tosa Bay,33.292652,,,133.613491,,,2006,1,Sni13,1,95,2,0.692,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Tosa Bay,33.292652,,,133.613491,,,2006,1,Sni21,1,95,2,0.567,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Tosa Bay,33.292652,,,133.613491,,,2006,1,Sni24,1,95,2,0.774,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Tosa Bay,33.292652,,,133.613491,,,2006,1,Sni26,1,95,2,0.886,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Tosa Bay,33.292652,,,133.613491,,,2006,1,Sni29,1,95,2,0.818,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Shibushi Bay,31.379729,,,131.116519,,,2005,1,Sni13,1,121,2,0.611,,geo coordinates pulled from place name
Scomberomorus niphonius,Japanese Spanish mackerel,Nakajima et al. (2014) Can. J. Fish. Aquat. Sci. 71:301-314,0,Japan,Shibushi Bay,31.379729,,,131.116519,,,2005,1,Sni21,1,121,2,0.587,,geo coordinates pulled from place name
