spp,CommonName,Source,Primer,Country,Site,lat_deg,lat_min,lon_deg,lon_min,CollectionYear,NumMarker,MarkerName,CrossSpp,n,Repeat,He,Hese
Acanthopagrus schlegelii,Blackhead seabream,An et al. 2010 Anim Cell Syst,0,Korea,Jeju captured,33.522077,,126.525049,,,1,ACS16,0,50,2,0.927,
Acanthopagrus schlegelii,Blackhead seabream,An et al. 2010 Anim Cell Syst,0,Korea,Jeju captured,33.522077,,126.525049,,,1,ACS17,0,50,2,0.876,
Acanthopagrus schlegelii,Blackhead seabream,An et al. 2010 Anim Cell Syst,0,Korea,Jeju captured,33.522077,,126.525049,,,1,ACS21,0,50,2,0.887,
Acanthopagrus schlegelii,Blackhead seabream,An et al. 2010 Anim Cell Syst,0,Korea,Jeju captured,33.522077,,126.525049,,,1,ACS4,0,50,2,0.805,
Acanthopagrus schlegelii,Blackhead seabream,An et al. 2010 Anim Cell Syst,0,Korea,Jeju captured,33.522077,,126.525049,,,1,ACS6,0,50,2,0.825,
Acanthopagrus schlegelii,Blackhead seabream,An et al. 2010 Anim Cell Syst,0,Korea,Jeju captured,33.522077,,126.525049,,,1,ACS9,0,50,2,0.94,
Acanthopagrus schlegelii,Blackhead seabream,Jeong et al. 2003 Fish Sci,0,Japan,Hiroshima (pre-stocking),34.340601,,132.407112,,,1,Acs1,0,46,2,0.627,
Acanthopagrus schlegelii,Blackhead seabream,Jeong et al. 2003 Fish Sci,0,Japan,Hiroshima (pre-stocking),34.340601,,132.407112,,,1,Acs3,0,47,2,0.821,
Acanthopagrus schlegelii,Blackhead seabream,Jeong et al. 2003 Fish Sci,0,Japan,Hiroshima (pre-stocking),34.340601,,132.407112,,,1,Acs4,0,48,2,0.774,
Acanthopagrus schlegelii,Blackhead seabream,Jeong et al. 2003 Fish Sci,0,Japan,Hiroshima (pre-stocking),34.340601,,132.407112,,,1,Acs9,0,47,2,0.916,
Acanthopagrus schlegelii,Blackhead seabream,Jeong et al. 2003 Fish Sci,0,Korea,Yosu,34.746549,,127.757163,,,1,Acs1,0,47,2,0.748,
