spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,
Symphodus ocellatus ,ocellated wrasse,Arigoni & Largiader 2000 Molecular Ecology 9:2155-2234,1,France,"Cap Martin, St Jean Cap Ferrat, Antibes, Cannes and Marseille ",43.542055,,,6.856435,,,,1,Soc1017PBBE ,0,10,2,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphodus ocellatus ,ocellated wrasse,Arigoni & Largiader 2000 Molecular Ecology 9:2155-2234,1,France,"Cap Martin, St Jean Cap Ferrat, Antibes, Cannes and Marseille ",43.542055,,,6.856435,,,,1,Soc1063PBBE ,0,10,2,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphodus ocellatus ,ocellated wrasse,Arigoni & Largiader 2000 Molecular Ecology 9:2155-2234,1,France,"Cap Martin, St Jean Cap Ferrat, Antibes, Cannes and Marseille ",43.542055,,,6.856435,,,,1,Soc1093PBBE ,0,10,2,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphodus ocellatus ,ocellated wrasse,Arigoni & Largiader 2000 Molecular Ecology 9:2155-2234,1,France,"Cap Martin, St Jean Cap Ferrat, Antibes, Cannes and Marseille ",43.542055,,,6.856435,,,,1,Soc1109PBBE ,0,10,2,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphodus ocellatus ,ocellated wrasse,Arigoni & Largiader 2000 Molecular Ecology 9:2155-2234,1,France,"Cap Martin, St Jean Cap Ferrat, Antibes, Cannes and Marseille ",43.542055,,,6.856435,,,,1,Soc1198PBBE ,0,10,2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphodus ocellatus ,ocellated wrasse,Arigoni & Largiader 2000 Molecular Ecology 9:2155-2234,1,France,"Cap Martin, St Jean Cap Ferrat, Antibes, Cannes and Marseille ",43.542055,,,6.856435,,,,1,Soc3121PBBE ,0,10,2,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphodus ocellatus ,ocellated wrasse,Arigoni & Largiader 2000 Molecular Ecology 9:2155-2234,1,France,"Cap Martin, St Jean Cap Ferrat, Antibes, Cannes and Marseille ",43.542055,,,6.856435,,,,1,Soc3200PBBE ,0,10,2,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley & Geller 1998 Molecular Ecology 7:1083-1090,1,USA,"Murrells Inlet, South Carolina",33.535494,,,-79.020026,,,,1,Ra1,0,60,2,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley & Geller 1998 Molecular Ecology 7:1083-1090,1,USA,"Murrells Inlet, South Carolina",33.535494,,,-79.020026,,,,1,Ra2,0,60,2,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley & Geller 1998 Molecular Ecology 7:1083-1090,1,USA,"Murrells Inlet, South Carolina",33.535494,,,-79.020026,,,,1,Ra3,0,60,2,0.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboplites aurorubens ,vermillion snapper,Bagley & Geller 1998 Molecular Ecology 7:1083-1090,1,USA,"Murrells Inlet, South Carolina",33.535494,,,-79.020026,,,,1,Ra4,0,60,2,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
