,spp,CommonName,Source,Country,Site,lat,lon,stockid,CollectionYear,MarkerName,n,bp,He,Hese,Pi,Pise,file
1,Abudefduf saxatilis,Seargeant-major,PiÒeros et al. 2015 Evol. Biol. 42:235-249,Mexico,AntÛn Lizardo,19.09922222,-95.94169444,NA,,"cytb, control region",18,1250,0.99,0.0047,0.008,9.00E-04,mtdna102
2,Abudefduf saxatilis,Seargeant-major,PiÒeros et al. 2015 Evol. Biol. 42:235-249,Mexico,Contoy Island,21.47205556,-86.78886111,NA,,"cytb, control region",13,1250,0.99,0.0111,0.007,0.0011,mtdna102
3,Abudefduf saxatilis,Seargeant-major,PiÒeros et al. 2015 Evol. Biol. 42:235-249,Mexico,Cozumel Island,20.44069444,-87.00227778,NA,,"cytb, control region",17,1250,1,0.0049,0.006,7.00E-04,mtdna102
4,Abudefduf saxatilis,Seargeant-major,PiÒeros et al. 2015 Evol. Biol. 42:235-249,Mexico,Lobos Island,21.48872222,-97.22708333,NA,,"cytb, control region",27,1250,0.98,0.0192,0.009,0.001,mtdna102
5,Abudefduf saxatilis,Seargeant-major,PiÒeros et al. 2015 Evol. Biol. 42:235-249,Mexico,Tuxpan,21.02702778,-97.19913889,NA,,"cytb, control region",16,1250,0.99,0.0075,0.005,8.00E-04,mtdna102
6,Abudefduf saxatilis,Seargeant-major,PiÒeros et al. 2015 Evol. Biol. 42:235-249,Mexico,Veracruz,19.19958333,-96.06944444,NA,,"cytb, control region",12,1250,1,0.0087,0.007,0.0012,mtdna102
7,Abudefduf saxatilis,Seargeant-major,PiÒeros et al. 2015 Evol. Biol. 42:235-249,Mexico,Xcalak,18.32597222,-87.81561111,NA,,"cytb, control region",15,1250,1,0.0052,0.007,0.001,mtdna102
8,Acanthocybium solandri,Wahoo,"Garber, Tringali & Franks 2005",,Caribbean Sea off the Cayman Islands,19.303,-75,NA,2001,control region,23,890,1,NA,0.052,NA,mtdna101
9,Acanthocybium solandri,Wahoo,"Garber, Tringali & Franks 2005",Bahamas,"Bimini, Bahamas",25.739,-79.03472222,NA,1997/1998,control region,40,890,1,NA,0.05,NA,mtdna101
10,Acanthocybium solandri,Wahoo,"Garber, Tringali & Franks 2005",United States,Atlantic Ocean off North Carolina,34.8,-70,NA,2000/2001,control region,23,890,1,NA,0.053,NA,mtdna101
11,Acanthocybium solandri,Wahoo,"Garber, Tringali & Franks 2005",United States,East Central Florida,28.304,-75,NA,2001,control region,30,890,1,NA,0.055,NA,mtdna101
12,Acanthocybium solandri,Wahoo,"Garber, Tringali & Franks 2005",United States,Northern Gulf of Mexico,29.229,-84,NA,1998-2000,control region,54,890,0.999,NA,0.055,NA,mtdna101
13,Acanthocybium solandri,Wahoo,"Garber, Tringali & Franks 2005",United States,Southern tip of Florida,25.205,-76,NA,2000/2001,control region,21,890,0.995,NA,0.049,NA,mtdna101
14,Acanthocybium solandri,Wahoo,"Garber, Tringali & Franks 2005",USA,Central Pacific Ocean off Hawaiian Islands,22,-158,NA,2000,control region,40,890,1,NA,0.055,NA,mtdna101
15,Acanthopagrus schlegelii,Blackhead seabream,Jean et al. 1998,Taiwan,Fulung,25.066,121.1333333,NA,,"5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",7,717,0.8792,NA,0.00381,NA,mtdna101
16,Acanthopagrus schlegelii,Blackhead seabream,Jean et al. 1998,Taiwan,Matsu,26.164,120,NA,,"5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,717,0.9091,NA,0.00399,NA,mtdna101
17,Acanthopagrus schlegelii,Blackhead seabream,Jean et al. 1998,Taiwan,Penghu,23.554,119.0833333,NA,,"5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,717,0.9091,NA,0.00269,NA,mtdna101
18,Acanthopagrus schlegelii,Blackhead seabream,Jean et al. 1998,Taiwan,Taihsi,23.655,120.0333333,NA,,"5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,717,0.8485,NA,0.00232,NA,mtdna101
19,Acanthopagrus schlegelii,Blackhead seabream,Jean et al. 1998,Taiwan,Tanshui,25.165,121.0333333,NA,,"5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,717,0.9091,NA,0.00232,NA,mtdna101
