"","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise"
"13","Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Tungkang",22.447,120.1,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.7879,NA,0.00316,NA
"14","Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Wuchi",24.187,120.1,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.8485,NA,0.00274,NA
"15","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Costa Rica","Cocos Islands",5.08361111111111,87.0019444444444,NA,"2008","cytb",32,694,0.88,0.04,0.003,0.0019
"16","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","French Polynesia","Moorea",-16.9158333333333,149.134166666667,NA,"2008","cytb",31,694,0.78,0.08,0.003,0.0019
"17","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Christmas Island",-9.93111111111111,105.100833333333,NA,"2008","cytb",51,694,0.85,0.03,0.0025,0.0016
"18","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Diego Garcia",-6.94972222222222,72.0669444444444,NA,"2008","cytb",32,694,0.85,0.05,0.003,0.0017
"19","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Seychelles",-3.89972222222222,55.0680555555556,NA,"2008","cytb",32,694,0.72,0.07,0.0017,0.0012
"20","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Pacific Ocean","Kiritimati",1.135,-156.933333333333,NA,"2008","cytb",35,694,0.89,0.04,0.0032,0.002
"21","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","South Pacific Ocean","Fiji",-18,179,NA,"2008","cytb",30,694,0.91,0.03,0.0031,0.002
"22","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","French Frigate Shoals",23.1177777777778,-165.982222222222,NA,"2006","cytb",33,694,0.72,0.08,0.0021,0.0013
"23","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Gardner Pinnacles",24.1525,-166.8475,NA,"2006","cytb",25,694,0.72,0.08,0.0021,0.0014
"24","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Hawaii Island",19.085,-154.916666666667,NA,"2006","cytb",33,694,0.65,0.09,0.0022,0.0015
"25","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Kauai",22.0022222222222,-158.916666666667,NA,"2006","cytb",26,694,0.81,0.06,0.0023,0.0015
"26","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Maui",20.1333333333333,-155.949166666667,NA,"2006","cytb",36,694,0.77,0.06,0.003,0.0018
"27","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Molokai",21.0175,-156.999166666667,NA,"2006","cytb",29,694,0.71,0.08,0.0024,0.0016
"28","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Nihoa",23.0016666666667,-160.849444444444,NA,"2006","cytb",40,694,0.73,0.06,0.0026,0.0016
"29","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Oahu",21.0683333333333,-156.847777777778,NA,"2006","cytb",39,694,0.7,0.07,0.0019,0.0013
"30","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Pearl & Hermes Reef",27.1333333333333,-174.865277777778,NA,"2006","cytb",20,694,0.87,0.06,0.0045,0.0027
"31","Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Western Pacific Ocean","Palau",7.05138888888889,134.068333333333,NA,"2008","cytb",36,694,0.9,0.03,0.0028,0.0018
"32","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","American Samoa",-13.95,-170,NA,"2007","cytb",23,797,0.94,0.034,0.0054,0.0031
"33","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","Line Islands",-2,-155.916666666667,NA,"2007","cytb",24,797,0.95,0.029,0.0053,0.0031
"34","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","Marshall Islands",7.00166666666667,-170.965,NA,"2007","cytb",19,797,1,0.017,0.0065,0.0037
"35","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","Society Islands",-16.9158333333333,-148.865833333333,NA,"2007","cytb",32,797,0.98,0.012,0.0073,0.004
"36","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","French Frigate Shoals",23.1177777777778,-165.982222222222,NA,"2007","cytb",33,797,0.42,0.1,0.00064,0.00062
"37","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Gardner Pinnacles",24.1525,-166.8475,NA,"2007","cytb",27,797,0.57,0.061,8e-04,0.00072
"38","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Hawaii, Big Island",19.085,-154.916666666667,NA,"2007","cytb",32,797,0.66,0.085,0.0012,0.00094
"39","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Johnston Atoll",16.1180555555556,-168.916388888889,NA,"2007","cytb",34,797,0.22,0.093,0.00037,0.00044
"40","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Kauai",22.0022222222222,-158.916666666667,NA,"2007","cytb",34,797,0.27,0.092,4e-04,0.00047
"41","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Kure Atoll",28.0669444444444,-177.949166666667,NA,"2007","cytb",41,797,0.31,0.093,0.00054,0.00056
"42","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Laysan Island",25.1183333333333,-170.8825,NA,"2007","cytb",46,797,0.58,0.069,0.00086,0.00074
"43","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Lisianski Island",26.0016666666667,-172.848333333333,NA,"2007","cytb",39,797,0.58,0.082,0.001,0.00083
"44","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Maro Reef",25.0669444444444,-169.914166666667,NA,"2007","cytb",35,797,0.62,0.064,0.00095,8e-04
"45","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Midway Island",28.0333333333333,-176.948611111111,NA,"2007","cytb",30,797,0.58,0.08,0.00097,0.00081
"46","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Nihoa",23.0016666666667,-160.849444444444,NA,"2007","cytb",32,797,0.63,0.091,0.00086,0.00075
"47","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Oahu",21.0683333333333,-156.847777777778,NA,"2007","cytb",29,797,0.54,0.093,0.00082,0.00073
"48","Acanthurus nigroris","Pacific Blueline Surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Pearl & Hermes Reef",27.1333333333333,-174.865277777778,NA,"2007","cytb",29,797,0.64,0.057,0.00096,0.00081
"49","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Eastern Atlantic","Central North Sea",56.13,4.81,NA,"2003","cytb",11,290,0.473,NA,0.0018,NA
"50","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Eastern Atlantic","Kattegat",57.5,10.35,NA,"2003","cytb",22,290,0.789,NA,0.006,NA
"51","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Eastern Atlantic","Off Haugesund",59.37,2.92,NA,"2003","cytb",15,290,0.771,NA,0.0039,NA
"52","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Eyjafjordur",66.16,-18.43,NA,"2004","cytb",19,290,0.784,NA,0.0038,NA
"53","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Hunafloi",65.57,-21.08,NA,"2004","cytb",27,290,0.738,NA,0.0047,NA
"54","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Isafjardarjup",66.28,-23.2,NA,"2003","cytb",17,290,0.75,NA,0.003,NA
"55","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Off bistlfjordur",66.91,-13.48,NA,"2003","cytb",24,290,0.916,NA,0.0071,NA
"56","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Off Bjargtangar 1",65.74,-27.4,NA,"2003","cytb",32,290,0.802,NA,0.055,NA
"57","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Off Bjargtangar 2",65.67,-27.56,NA,"2003","cytb",22,290,0.749,NA,0.006,NA
"58","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Off Hofn",63.91,-12.53,NA,"2003","cytb",17,290,0.806,NA,0.0036,NA
"59","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Oxafjordur",66.28,-16.28,NA,"2004","cytb",20,290,0.916,NA,0.0071,NA
"60","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Skagafjordur",65.94,-16.79,NA,"2004","cytb",19,290,0.784,NA,0.0058,NA
"61","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Skjalfandi",66.14,-17.54,NA,"2004","cytb",25,290,0.743,NA,0.0056,NA
"62","Amblyraja radiata","Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Newfoundland","Newfoundland",46.07,-47.37,NA,"2004","cytb",30,290,0.834,NA,0.007,NA
"63","Ammodytes personatus","Pacific sandlance ","Kim Park Kim 2006","South Korea","Jumunjin, East Sea",37.979,128.8893,NA,"2005","control region",24,750,1,NA,0.0255,NA
"64","Ammodytes personatus","Pacific sandlance ","Kim Park Kim 2006","South Korea","Sangju, South Sea",34.814,128.285453,NA,"2005","control region",25,750,0.99,NA,0.0097,NA
"65","Ammodytes personatus","Pacific sandlance ","Kim Park Kim 2006","South Korea","Taean, West Sea",36.756,125.995612,NA,"2005","control region",24,750,1,NA,0.0099,NA
"66","Amphiprion melanopus","Fire clownfish","Drew et. al 2008 Conservation Biology 22(4):965-975","Fiji","Central Fiji",-17.3,178.9,NA,"","control region",36,384,NA,NA,0.02,0.001666667
"67","Amphiprion melanopus","Fire clownfish","Drew et. al 2008 Conservation Biology 22(4):965-975","Papua New Guinea","Milne Bay",-9.02,149.15,NA,"","control region",26,384,NA,NA,0.021,0.001961161
"68","Amphiprion melanopus","Fire clownfish","Drew et. al 2008 Conservation Biology 22(4):965-975","Solomon Islands","Nudha Islands",-9.5,160.8,NA,"","control region",11,384,NA,NA,0.02,0.003015113
"69","Anoplopoma fimbria","Sablefish","Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523","Mexico","SQ",30.4416666666667,-115.569166666667,NA,"","COI",15,353,0.371,0.03950443,0.0015,0.000180739
"70","Anoplopoma fimbria","Sablefish","Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523","USA","BS",56.0846111111111,-172.965241666667,"SABLEFEBSAIGA","","COI",15,353,0.467,0.038213436,0.00146,0.000136845
"71","Anoplopoma fimbria","Sablefish","Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523","USA","GA",54.0359444444444,-133.999816666667,"SABLEFEBSAIGA","","COI",14,353,0.758,0.031002304,0.0027,0.000160357
"72","Anoplopoma fimbria","Sablefish","Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523","USA","OR",45.8355555555556,-123.198333333333,"SABLEFPCOAST","","COI",13,353,0.5,0.037719613,0.0015,0.00011094
"73","Auxis thazard","Frigate tuna ","Kumar et al. 2012 Marine Biology Research 8:992-1002","India ","Kavaratti",10.34,72.37,NA,"2008","D-loop",50,500,1,NA,0.026,NA
"74","Auxis thazard","Frigate tuna ","Kumar et al. 2012 Marine Biology Research 8:992-1002","India ","Kochi",9.58,76.16,NA,"2008","D-loop",50,500,1,NA,0.056,NA
"75","Auxis thazard","Frigate tuna ","Kumar et al. 2012 Marine Biology Research 8:992-1002","India ","Pondicherry",11.56,79.5,NA,"2008","D-loop",50,500,1,NA,0.04,NA
"76","Auxis thazard","Frigate tuna ","Kumar et al. 2012 Marine Biology Research 8:992-1002","India ","Port-Blair",11.4,92.46,NA,"2009","D-loop",14,500,0.989,NA,0.091,NA
"77","Auxis thazard","Frigate tuna ","Kumar et al. 2012 Marine Biology Research 8:992-1002","India ","Ratnagiri",16.59,73.18,NA,"2008","D-loop",50,500,0.9992,NA,0.043,NA
"78","Auxis thazard","Frigate tuna ","Kumar et al. 2012 Marine Biology Research 8:992-1002","India ","Tuticorin",8.49,78.08,NA,"2009","D-loop",50,500,1,NA,0.027,NA
"79","Auxis thazard","Frigate tuna ","Kumar et al. 2012 Marine Biology Research 8:992-1002","India ","Veravel",20.54,70.22,NA,"2007","D-loop",50,500,0.9992,NA,0.031,NA
"80","Auxis thazard","Frigate tuna ","Kumar et al. 2012 Marine Biology Research 8:992-1002","India ","Vizag",17.42,86.15,NA,"2009","D-loop",50,500,0.9984,NA,0.034,NA
"81","Balistes capriscus","Gray triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","Louisiana",27,-91,"GTRIGGM","2008.5","ND4",29,617,0.81505,NA,0.00345,NA
"82","Balistes capriscus","Gray triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","South Carolina",33.0833333333333,-79,NA,"2008.5","ND4",29,617,0.88736,NA,0.00393,NA
"83","Balistes capriscus","Gray triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","South Texas",26.0188888888889,-96.9988888888889,"GTRIGGM","2008.5","ND4",29,617,0.89195,NA,0.00451,NA
"84","Balistes capriscus","Gray triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","South-eastern Florida",26.0833333333333,-80,NA,"2008.5","ND4",29,617,0.90726,NA,0.00403,NA
"85","Balistes capriscus","Gray triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","West Florida",30.150349,-86.485161,"GTRIGGM","2008.5","ND4",29,617,0.87957,NA,0.003386,NA
"86","Bathygobius cocosensis","Reef goby ","Muki et al. 2009 Ichythology Res 56:380-387","Northwestern Pacific Ocean ","Bonin Islands ",25,145,NA,"","ND5",22,945,0.636,NA,0.001,NA
"87","Bathygobius cocosensis","Reef goby ","Muki et al. 2009 Ichythology Res 56:380-387","Northwestern Pacific Ocean ","Iriomote-jima",24,124,NA,"","ND5",12,945,0.955,NA,0.003,NA
"88","Bathygobius cocosensis","Reef goby ","Muki et al. 2009 Ichythology Res 56:380-387","Northwestern Pacific Ocean ","Okinawa-jima",26,126,NA,"","ND5",10,945,0.644,NA,0.001,NA
"89","Bathygobius cocosensis","Reef goby ","Muki et al. 2009 Ichythology Res 56:380-387","Northwestern Pacific Ocean ","Wakayama",35,136,NA,"","ND5",16,945,0.908,NA,0.002,NA
"90","Bellapiscis lesleyae","Mottled twister","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Bluff",-45.4166666666667,168.333333333333,NA,"","control region",12,400,0.591,0.108,0.003,0.002
"91","Bellapiscis lesleyae","Mottled twister","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Hauraki Gulf",-34.1,175.083333333333,NA,"","control region",4,400,1,0.177,0.013,0.009
"92","Bellapiscis lesleyae","Mottled twister","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Kaikoura",-41.6,173.7,NA,"","control region",14,400,1,0.034,0.013,0.008
"93","Bellapiscis lesleyae","Mottled twister","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Three Kings",-33.8666666666667,172.133333333333,NA,"","control region",12,400,0.758,0.093,0.005,0.003
"94","Bellapiscis medius","Twister","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Bluff",-45.4166666666667,168.333333333333,NA,"","control region",24,400,0.486,0.113,0.002,0.002
"95","Bellapiscis medius","Twister","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Catlins",-45.6333333333333,169.783333333333,NA,"","control region",21,400,0.095,0.084,3e-04,0.001
"96","Bellapiscis medius","Twister","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Hauraki Gulf",-34.1,175.083333333333,NA,"","control region",14,400,0.901,0.058,0.006,0.004
"97","Bellapiscis medius","Twister","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Kaikoura",-41.6,173.7,NA,"","control region",8,400,0.649,0.184,0.004,0.003
"98","Bellapiscis medius","Twister","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Kaipara",-35.75,174.233333333333,NA,"","control region",14,400,0.818,0.084,0.005,0.003
"99","Bellapiscis medius","Twister","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Otago",-44.1833333333333,170.65,NA,"","control region",16,400,0.264,0.136,0.001,0.001
"100","Bellapiscis medius","Twister","Hickey et. al 2009 Molecular Ecology 18:680-697","New Zealand","Wellington",-40.9166666666667,174.85,NA,"","control region",19,400,0.836,0.139,0.003,0.002
"101","Beryx decadactylus","Alfonsino ","Friess & Sedberry 2011 Journal of Fish Biology 78:466-478","United States","Charleston Bump ",32.0936,-75.9942,NA,"2005","control region",141,403,0.799,NA,0.0041,NA
"102","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","Astrolabe Reef,  North Loyality ridge",-20,165.3,NA,"","cytb",12,815,0.8485,NA,0.003458,NA
"103","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","Atlantic Ocean",58.539595,-19.541019,NA,"","cytb",25,815,0.9833,NA,0.009669,NA
"104","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","Chatham Rise",-46.316584,178.886712,NA,"","cytb",13,815,0.9744,NA,0.003492,NA
"105","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","East Coast",-40.044438,-179.150394,NA,"","cytb",25,815,0.88,NA,0.004266,NA
"106","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","Indian Ocean (east)",-20.468189,111.943356,NA,"","cytb",10,815,0.9778,NA,0.005235,NA
"107","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","Indian Ocean (west)",-27.839076,49.892575,NA,"","cytb",9,815,0.9167,NA,0.00259,NA
"108","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","Lifou Island, North Loyality ridge",-21,167,NA,"","cytb",10,815,0.9333,NA,0.004908,NA
"109","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","Off Japanese Coast",45.828799,146.894524,NA,"","cytb",27,815,0.886,NA,0.003489,NA
"110","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","Off Tasmania, South Australia",-45.336702,144.462887,NA,"","cytb",5,815,1,NA,0.007853,NA
"111","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","Seamount J, South Loyality ridge",-24.1,170,NA,"","cytb",21,815,0.9524,NA,0.003728,NA
"112","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","Seamount Jumeau Est, Norfolk ridge",-23.6,168.5,NA,"","cytb",14,815,0.8901,NA,0.003182,NA
"113","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","Seamount Jumeau Ouest, Norfolk ridge",-23.9,167.5,NA,"","cytb",10,815,0.7778,NA,0.001963,NA
"114","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","Seamount K, South Loyality ridge",-24.5,170.1,NA,"","cytb",13,815,0.8718,NA,0.003146,NA
"115","Beryx splendens","Splendid alfonsino","Levy-Hartmann et al. 2011 Genetica 139: 1349-1365","New Caledonia","Seamount Stylaster, Norfolk ridge",-23.5,168,NA,"","cytb",10,815,0.9333,NA,0.002372,NA
"116","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Bering strait","19",70,-175,NA,"2002","cytb",5,260,0.7,0.22,0.0031,0.0031
"117","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Greenland","1",71.48,-56.58,NA,"2004","cytb",32,260,0.44,0.11,0.0031,0.0026
"118","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Greenland","10",74.9,-21.01,NA,"2003","cytb",17,260,0.32,0.14,0.0013,0.0015
"119","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Greenland","11",75.58,-21.44,NA,"2003","cytb",20,260,0.45,0.14,0.0027,0.0023
"120","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Greenland","12",76.43,-19.19,NA,"2003","cytb",17,260,0.67,0.09,0.0054,0.0039
"121","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Greenland","14",73.04,-16.31,NA,"2003","cytb",19,260,0.45,0.13,0.0041,0.0032
"122","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Greenland","15",75.24,-11.45,NA,"2003","cytb",17,260,0.23,0.13,0.0018,0.0018
"123","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Greenland","16",76.59,-6.25,NA,"2002","cytb",39,260,0.39,0.09,0.0041,0.0031
"124","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Greenland","17",79.01,10.43,NA,"2002","cytb",41,260,0.23,0.08,0.002,0.0019
"125","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Greenland","2",67.22,-57.07,NA,"2004","cytb",41,260,0.34,0.09,0.0023,0.0026
"126","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Greenland","3",65.04,-34.31,NA,"2005","cytb",22,260,0.4,0.12,0.0037,0.0029
"127","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Greenland","8",74.04,-22,NA,"2003","cytb",16,260,0.69,0.12,0.0041,0.0032
"128","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Greenland","9",74.27,-21.11,NA,"2003","cytb",15,260,0.36,0.14,0.0032,0.0027
"129","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Iceland","4",66.75,-24.5,NA,"2002","cytb",20,260,0.57,0.12,0.0051,0.0037
"130","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Iceland","5",67.25,-19.5,NA,"2002","cytb",20,260,0.35,0.12,0.0034,0.0027
"131","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Iceland","6",66,-12,NA,"2002","cytb",17,260,0.41,0.14,0.0032,0.0027
"132","Boreogadus saida","Polar cod","Palsson et. al 2009 Polar Biology 32:471-479","Iceland","7",64.5,-12,NA,"2002","cytb",40,260,0.54,0.08,0.0047,0.0034
