spp,CommonName,Source,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,MarkerName,n,bp,He,Hese,Pi,Pise
Cynoscion nebulosus,Spotted weakfish,"Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132",USA,SL,29.8,,,-93.8,,,2003-2005,control region,44,373,0.75,,0.005,
Cynoscion nebulosus,Spotted weakfish,"Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132",USA,EM,28.69,,,-95.8,,,2003-2005,control region,28,373,0.92,,0.007,
Cynoscion nebulosus,Spotted weakfish,"Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132",USA,MB,28.4,,,-96.35,,,2003-2005,control region,27,373,0.94,,0.007,
Cynoscion nebulosus,Spotted weakfish,"Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132",USA,SB,28.27,,,-96.7,,,2003-2005,control region,40,373,0.9,,0.007,
Cynoscion nebulosus,Spotted weakfish,"Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132",USA,AB,28,,,-96.9,,,2003-2005,control region,42,373,0.89,,0.006,
Cynoscion nebulosus,Spotted weakfish,"Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132",USA,CC,27.7,,,-97.2,,,2003-2005,control region,42,373,0.89,,0.007,
Cynoscion nebulosus,Spotted weakfish,"Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132",USA,UL,27.25,,,-97.4,,,2003-2005,control region,30,373,0.87,,0.006,
Cynoscion nebulosus,Spotted weakfish,"Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132",USA,LL,26.3,,,-97.27,,,2003-2005,control region,27,373,0.89,,0.007,
Balistes capriscus,Gray triggerfish,Antoni et al. 2011 North American Journal of Fisheries 31:714-721,USA,South Texas,26,1,8,-97,0,4,2008.5,ND4,29,617,0.89195,,0.00451,
Balistes capriscus,Gray triggerfish,Antoni et al. 2011 North American Journal of Fisheries 31:714-721,USA,Louisiana,27,,0,-91,0,0,2008.5,ND4,29,617,0.81505,,0.00345,
Balistes capriscus,Gray triggerfish,Antoni et al. 2011 North American Journal of Fisheries 31:714-721,USA,West Florida,30.150349,,,-86.485161,,,2008.5,ND4,29,617,0.87957,,0.003386,
Balistes capriscus,Gray triggerfish,Antoni et al. 2011 North American Journal of Fisheries 31:714-721,USA,South-eastern Florida,26,5,0,-80,0,0,2008.5,ND4,29,617,0.90726,,0.00403,
Balistes capriscus,Gray triggerfish,Antoni et al. 2011 North American Journal of Fisheries 31:714-721,USA,South Carolina,33,5,0,-79,0,0,2008.5,ND4,29,617,0.88736,,0.00393,
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,"Greece, Eastern North Atlantic/Mediterranean",Mediterranean/Crete,35.201,,,21.953582,,,1994,control region,48,526,0.997,,0.014,
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,"Morocco, Eastern North Atlantic/Mediterranean",Madeira,32.88,,,-9.930182,,,1997-1998,control region,43,526,0.995,,0.014,
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,"Portugal, Eastern North Atlantic/Mediterranean",Azores,37.85,,,-26.533325,,,1997-1998,control region,32,526,1,,0.013,
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,"USA, Western North Atlantic",North Carolina,34.5,,,-76.254793,,,1999-2002,control region,49,526,0.991,,0.011,
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,"USA, Western North Atlantic",South Carolina,33,,,-78.7278,,,1996-2002,control region,60,526,0.996,,0.01,
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,"USA, Western North Atlantic",Georgia,31.5,,,-80.844436,,,2000-2002,control region,20,526,1,,0.008,
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,USA,"Gulf of Mexico/Panama City, FL",30.155,,,-85.857669,,,2003,control region,20,526,0.984,,0.008,
Pagrus pagrus,Red porgy,Ball et al. 2007 Mar Biol 150:1321-1332,USA,Gulf of Mexico/Louisiana,29.9,,,-88.535012,,,1999,control region,46,526,0.987,,0.01,
Trachurus mediterraneus,Mediterraneus horse mackerel ,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,BS1,41.36,,,41.23,,,2005,control region,20,862,0.953,0.019677398,0.00904,0.000192302
Trachurus mediterraneus,Mediterraneus horse mackerel ,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,BS2,40.9,,,38.41,,,2005,control region,6,862,0.933,0.038375339,0.00766,0.000314351
Trachurus mediterraneus,Mediterraneus horse mackerel ,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,BS3,41.92,,,35.07,,,2005,control region,6,862,1,0,0.00858,0.00011431
Trachurus mediterraneus,Mediterraneus horse mackerel ,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,BS4,41.47,,,31.77,,,2005,control region,6,862,1,0,0.00758,0.000322516
Trachurus mediterraneus,Mediterraneus horse mackerel ,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,MS1,40.99,,,28.85,,,2005,control region,10,862,0.978,0.02118726,0.00786,0.00018025
Trachurus mediterraneus,Mediterraneus horse mackerel ,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,MS2,40.2,,,26.43,,,2005,control region,10,862,1,0,0.00838,0.000148627
Trachurus mediterraneus,Mediterraneus horse mackerel ,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,AS,38.46,,,26.89,,,2005,control region,10,862,0.978,0.025930677,0.00985,0.000186574
Trachurus mediterraneus,Mediterraneus horse mackerel ,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,NMS1,36.86,,,30.69,,,2005,control region,6,862,1,0,0.007,0.000342929
Trachurus mediterraneus,Mediterraneus horse mackerel ,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,NMS2,36.64,,,36.13,,,2005,control region,10,862,0.978,0.015811388,0.00866,0.000199223
Trachurus trachurus,Atlantic horse mackerel,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,MS1,40.99,,,28.85,,,2005,control region,12,862,0.955,0.015877132,0.00339,0.000199186
Trachurus trachurus,Atlantic horse mackerel,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,MS2,40.2,,,26.43,,,2005,control region,12,862,0.97,0.017609183,0.00476,0.000167432
Trachurus trachurus,Atlantic horse mackerel,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,AS,38.46,,,26.89,,,2005,control region,12,862,0.909,0.010969655,0.00327,0.000251147
Trachurus trachurus,Atlantic horse mackerel,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,NMS1,36.86,,,30.69,,,2005,control region,11,862,1,0.027739044,0.00388,0.00027136
Trachurus trachurus,Atlantic horse mackerel,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,NMS2,36.64,,,36.13,,,2005,control region,13,862,0.987,0.014976905,0.00345,0.000208013
Trachurus picturatus,Blue jack mackerel,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,AS,38.46,,,26.89,,,2005,control region,18,862,0.98,0.01673486,0.00673,0.000108423
Trachurus picturatus,Blue jack mackerel,Bektas and Belduz 2008 Journal of Fish Biology 73:1228-1248,Turkey,NMS1,36.86,,,30.69,,,2005,control region,20,862,0.974,0.014087228,0.00652,0.000172177
Carcharodon carcharias,Australian White Shark,Blower et al. 2012 Marine Ecology Progress Series 455: 229-244,Australia,New South Wales,32,1,6,147,0,2,1997,control region,38,842,0.838,0.025,0.00289,0.00178
Carcharodon carcharias,Australian White Shark,Blower et al. 2012 Marine Ecology Progress Series 455: 229-244,Australia,Queensland,23,,,143,,,1997,control region,13,842,0.885,0.058,0.0029,0.00189
Carcharodon carcharias,Australian White Shark,Blower et al. 2012 Marine Ecology Progress Series 455: 229-244,Australia,South Australia,30,,,135,,,1997,control region,28,842,0.833,0.051,0.00285,0.00178
Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371,Bay of Biscay,West Cantabrian Sea,43.47,,,-4.01,,,2009,16S,40,503,0.5308,0.0891,0.003747,
Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371,Bay of Biscay,West Cantabrian Sea (Valdearenas),43.44,,,-3.97,,,2009,16S,20,503,0.7421,0.0705,0.005159,
Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371,Bay of Biscay,East Cantabrian Sea (Basque Country),44.2,,,-2.54,,,2009,16S,19,503,0.7018,0.0805,0.005022,
Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371,Bay of Biscay,East Cantabrian Sea (Getaria Coast),44,,,-2.6,,,2009,16S,11,503,0.8727,0.0891,0.005639,
Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371,France,North Nantes,47,,,-2.5,,,2009,16S,31,503,0.7484,0.0577,0.005481,
Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371,Mediterranean,The Adriatic Sea,43.03,,,16.13,,,2009,16S,20,503,0.7579,0.0811,0.004824,
Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371,Bay of Biscay,West Cantabrian Sea,43.47,,,-4.01,,,2009,Cytb,39,524,0.726,0.0703,0.011935,
Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371,Bay of Biscay,West Cantabrian Sea (Valdearenas),43.44,,,-3.97,,,2009,Cytb,20,524,0.9474,0.00344,0.016181,
Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371,Bay of Biscay,East Cantabrian Sea (Basque Country),44.2,,,-2.54,,,2009,Cytb,17,524,0.9706,0.0323,0.0158,
Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371,Bay of Biscay,East Cantabrian Sea (Getaria Coast),44,,,-2.6,,,2009,Cytb,12,524,0.8485,0.012723,0.012723,
Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371,France,North Nantes,47,,,-2.5,,,2009,Cytb,31,524,0.9484,0.0246,0.016383,
Engraulis encrasicolus,European Anchovy,Borrell et al. 2012 ICES Journal of Marine Science 69:1357-1371,Mediterranean,The Adriatic Sea,43.03,,,16.13,,,2009,Cytb,20,524,0.9842,0.0205,0.014132,
Sardinops sagax,South American pilchard,Bowen & Grant 1997,South Africa,"West coast, Cape Town",-34.452,,,18,2,6,1991,control region,15,500,1,,0.018,
Sardinops sagax,South American pilchard,Bowen & Grant 1997,Australia,Southern Australia,-37.16,,,125,,,1985,control region,15,500,1,,0.017,
Sardinops sagax,South American pilchard,Bowen & Grant 1997,Chile,Iquique,-20.468,,,-70,1,5,1991,control region,18,500,1,,0.025,
Sardinops sagax,South American pilchard,Bowen & Grant 1997,USA,"San Diego, Southern California",32.762,,,-117,1,6,1983,control region,15,500,1,,0.03,
Sardinops sagax,South American pilchard,Bowen & Grant 1997,Japan,Pacific Coast of Hokkaido,41.042894,,,144.235234,,,1983,control region,18,500,0.961,,0.009,
Myripristis jacobus,Blackbar soldierfish,Bowen et al. 2006 Marine Biology 149:899-913,USA,Florida,25.086,,,-81.841437,,,1990-1997,cytochrome b,10,744,0.978,,0.004,
Myripristis jacobus,Blackbar soldierfish,Bowen et al. 2006 Marine Biology 149:899-913,Grenada,Grenada,12.297,,,-61.775228,,,1990-1997,cytochrome b,16,744,0.892,,0.004,
