fbsci,Country,Site,stockid,spp,CommonName,Source,CollectionYear,MarkerName,n,bp,He,Hese,Pi,Pise,lat,lon
Amblyraja radiata,Eastern Atlantic,Central North Sea,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,11,290,0.473,NA,0.0018,NA,56.13,4.81
Amblyraja radiata,Eastern Atlantic,Kattegat,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,22,290,0.789,NA,0.006,NA,57.5,10.35
Amblyraja radiata,Eastern Atlantic,Off Haugesund,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,15,290,0.771,NA,0.0039,NA,59.37,2.92
Amblyraja radiata,Iceland,Eyjafjordur,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2004,cytochrome b,19,290,0.784,NA,0.0038,NA,66.16,-18.43
Amblyraja radiata,Iceland,Hunafloi,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2004,cytochrome b,27,290,0.738,NA,0.0047,NA,65.57,-21.08
Amblyraja radiata,Iceland,Isafjardarjup,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,17,290,0.75,NA,0.003,NA,66.28,-23.2
Amblyraja radiata,Iceland,Off bistlfjordur,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,24,290,0.916,NA,0.0071,NA,66.91,-13.48
Amblyraja radiata,Iceland,Off Bjargtangar,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,22,290,0.749,NA,0.006,NA,65.67,-27.56
Amblyraja radiata,Iceland,Off Bjargtangar,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,32,290,0.802,NA,0.055,NA,65.74,-27.4
Amblyraja radiata,Iceland,Off Hofn,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2003,cytochrome b,17,290,0.806,NA,0.0036,NA,63.91,-12.53
Amblyraja radiata,Iceland,Oxafjordur,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2004,cytochrome b,20,290,0.916,NA,0.0071,NA,66.28,-16.28
Amblyraja radiata,Iceland,Skagafjordur,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2004,cytochrome b,19,290,0.784,NA,0.0058,NA,65.94,-16.79
Amblyraja radiata,Iceland,Skjalfandi,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2004,cytochrome b,25,290,0.743,NA,0.0056,NA,66.14,-17.54
Amblyraja radiata,Newfoundland,Newfoundland,NA,Amblyraja radiata,Starry ray,Chevolot et al. 2007 Mar Biol 151:1275-1286,2004,cytochrome b,30,290,0.834,NA,0.007,NA,46.07,-47.37
Anoplopoma fimbria,Mexico,SQ,NA,Anoplopoma fimbria,Sablefish,Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523,,COI,15,353,0.371,0.03950443,0.0015,0.000180739,30.44166667,-115.5691667
Anoplopoma fimbria,USA,BS,SABLEFEBSAIGA,Anoplopoma fimbria,Sablefish,Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523,,COI,15,353,0.467,0.038213436,0.00146,0.000136845,56.08461111,-172.9652417
Anoplopoma fimbria,USA,GA,SABLEFEBSAIGA,Anoplopoma fimbria,Sablefish,Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523,,COI,14,353,0.758,0.031002304,0.0027,0.000160357,54.03594444,-133.9998167
Anoplopoma fimbria,USA,OR,SABLEFPCOAST,Anoplopoma fimbria,Sablefish,Tripp-Valdez et. al 2012 Journal of Applied Ichthyology 28:516-523,,COI,13,353,0.5,0.037719613,0.0015,0.00011094,45.852779,-124.324432
Balistes capriscus,USA,Louisiana,GTRIGGM,Balistes capriscus,Gray triggerfish,Atoni et al. 2011 North American Journal of Fisheries 31:714-721,2008.5,ND4,29,617,0.81505,NA,0.00345,NA,27,-91
Balistes capriscus,USA,South Carolina,NA,Balistes capriscus,Gray triggerfish,Atoni et al. 2011 North American Journal of Fisheries 31:714-721,2008.5,ND4,29,617,0.88736,NA,0.00393,NA,33.08333333,-79
